turn,object_id,object_type,state,downtime_reason,shortage_flag,missing_inputs,maintenance_event,maintenance_duration,queue_duration,cost,vibration_level,output_qualities,output_count,cycle_time,total_stock,stock_by_type,mat_id_in,mat_type_in,source_in,mat_id_out,mat_type_out,dest_out,blocked_downstream_id
1,INV_COAL,INV,,,,,,,,,,,,,,,,,,COAL108,RAW_COAL,WS2,
1,INV_COPPER,INV,,,,,,,,,,,,,,,,,,COPPER112,RAW_COPPER,WS17,
1,INV_GLASS,INV,,,,,,,,,,,,,,,,,,GLASS115,RAW_GLASS,WS9,
1,INV_RUBBER,INV,,,,,,,,,,,,,,,,,,RUBBER124,RAW_RUBBER,WS15,
1,INV_STEEL,INV,,,,,,,,,,,,,,,,,,STEEL103,COMP_STEEL,WS2,
8,WS7,WS,2,,False,[],,,,1,0.03164375959213999,,,,,,,,,,,,
8,WS9,WS,2,,,,,,,5,0.030464460844571613,,,,,,,,,,,,
9,INV1,INV,,,,,,,,,,,,,,,,,,MAT137,COMP_CASTING,WS3,
9,WS1,WS,2,,,,,,,8,0.03242117623595941,,,,,,,,,,,,
9,WS10,WS,4,maintenance,,,,,,0,0.021599673301204235,,,,,,,,,,,,
9,WS11,WS,3,,,,,,,6,0.03990315035202141,[1.0],1,3,,,,,,,,,
9,WS12,WS,4,maintenance,,,,,,0,0.023083009030491007,,,,,,,,,,,,
9,WS13,WS,1,,True,"[""COMP_BODY"", ""COMP_POWERTRAIN"", ""COMP_CHASSIS""]",,,,2,0.028100517521348036,,,,,,,,,,,,
9,WS14,WS,1,,True,"[""COMP_WINDOW""]",,,,2,0.02803112128838388,,,,,,,,,,,,
9,WS15,WS,3,,,,,,,6,0.03324546597473105,[1.0],1,3,,,,,,,,,
9,WS16,WS,1,,True,"[""COMP_ENGINE""]",,,,2,0.034011990389811515,,,,,,,,,,,,
9,WS17,WS,1,,True,"[""RAW_RUBBER""]",,,,1,0.03449611933555306,,,,,,,,,,,,
9,WS18,WS,1,,True,"[""COMP_WHEELS""]",,,,2,0.026031865686928276,,,,,,,,,,,,
9,WS19,WS,4,maintenance,,,,,,0,0.030235078690995176,,,,,,,,,,,,
9,WS2,WS,1,,True,"[""COMP_STEEL"", ""RAW_COAL""]",,,,1,0.034655871183858704,,,,,,,,,,,,
9,WS3,WS,2,,False,[],maintenance_end,0,,0,0.03839055605028821,,,,,,,,,,,,
9,WS4,WS,4,maintenance,,,,,,0,0.02871782161014162,,,,,,,,,,,,
9,WS6,WS,3,,,,,,,6,0.03545510420683219,[1.0],1,3,,,,,,,,,
9,WS7,WS,2,,,,,,,8,0.03879048895168065,,,,,,,,,,,,
9,WS9,WS,3,,,,,,,5,0.03349853723317289,[1.0],1,3,,,,,,,,,
10,INV2,INV,,,,,,,,,,,,,,,MAT139,COMP_WIRE,WS6,,,,
10,INV3,INV,,,,,,,,,,,,,,,MAT142,COMP_TIRE,WS15,,,,
10,INV8,INV,,,,,,,,,,,,,,,MAT141,COMP_WINDOW,WS9,MAT141,COMP_WINDOW,WS14,
10,WS1,WS,2,,,,,,,8,0.027234035781923828,,,,,,,,,,,,
10,WS10,WS,1,,True,"[""RAW_RUBBER""]",maintenance_end,0,,0,0.031115585392759295,,,,,,,,,,,,
10,WS11,WS,1,,,,,,0,1,0.026499256707535217,,,,,,,,,,,,
10,WS12,WS,4,maintenance,,,,,,0,0.0356126307809038,,,,,,,,,,,,
10,WS13,WS,1,,True,"[""COMP_BODY"", ""COMP_POWERTRAIN"", ""COMP_CHASSIS""]",,,,2,0.03562412291474662,,,,,,,,,,,,
10,WS14,WS,2,,False,[],,,,2,0.02959951589610762,,,,,,,,,,,,
10,WS15,WS,1,,,,,,0,1,0.021432255098118823,,,,,,,,,,,,
10,WS16,WS,1,,True,"[""COMP_ENGINE""]",,,,2,0.0335716397336704,,,,,,,,,,,,
10,WS17,WS,1,,True,"[""RAW_RUBBER""]",,,,1,0.025783992803800893,,,,,,,,,,,,
10,WS18,WS,1,,True,"[""COMP_WHEELS""]",,,,2,0.02524510592543644,,,,,,,,,,,,
10,WS19,WS,1,,True,"[""RAW_RUBBER""]",maintenance_end,0,,0,0.023544423660514922,,,,,,,,,,,,
10,WS2,WS,4,maintenance,,,maintenance_start,5,,1,0.03384991050287353,,,,,,,,,,,,
10,WS3,WS,2,,,,,,,8,0.02516812201065718,,,,,,,,,,,,
10,WS4,WS,1,,True,"[""RAW_RUBBER""]",maintenance_end,0,,0,0.02011002585417781,,,,,,,,,,,,
10,WS6,WS,1,,,,,,0,1,0.02321909395413901,,,,,,,,,,,,
10,WS7,WS,2,,,,,,,8,0.03136149722150894,,,,,,,,,,,,
